Year,Population
1971,21627000
1972,21981000
1973,22342000
1974,22696000
1975,23045000
1976,23449000
1977,23517000
1978,23613000
1979,23719000
1980,24343000
1981,24820000
1982,25202000
1983,25457000
1984,25702000
1985,25942000
1986,26204000
1987,26549000
1988,26895000
1989,27296000
1990,27701000
1991,28147000
1992,28623000
1993,29000000
1994,29353000
1995,29627000
1996,29906000
1997,30287000
1998,30677000
1999,31081000
2000,30688000
2001,31021000
2002,31373000
2003,31660000
2004,31946000
2005,32244000
2006,32649000
2007,33039000
2008,33311000
2009,33632000
2010,34005000
2011,34339000
2012,34755000
2013,35185000
2014,35543000
2015,35851000
2016,36286000
2017,36708000
2018,37074000
2019,37589000
2020,37991000
2021,38388000
2022,39039000
2023,40516000
2025,41537000
2030,43074000
2035,44402000
2040,45528000
2045,46387000
2050,46923000
2055,47162000
2060,47211000
2065,47119000
2070,46950000
2075,48111000
2080,47829000
2085,47463000
2090,47012000
2095,46496000
2100,45920000
