Year,Area_Harvested_ha,Yield_tonne_per_ha,Production_tonnes,Price_per_tonne,Nitrogen_kg_per_ha
1971,573000,4.5,2579000,69,50
1972,589793,4.94,2913577,65,52
1973,623381,5.07,3160541,58,54
1974,659569,4.7,3099974,73,64
1975,650000,5.1,3315000,76,60
1976,671251,5.3,3557630,82,57
1977,735258,5.61,4124797,94,66
1978,744760,5.24,3902542,97,63
1979,743380,5.44,4043987,106,64
1980,780000,5.6,4368000,105,77
1981,792164,4.98,3944976,96,71
1982,815116,5.38,4385324,110,73
1983,850000,4.9,4165000,99,77
1984,824776,5.43,4478533,108,81
1985,900000,6.0,5400000,113,86
1986,888095,5.62,4991093,119,83
1987,879117,4.81,4228552,140,83
1988,910000,4.5,4095000,138,93
1989,909529,5.84,5311649,122,91
1990,960000,6.2,5952000,148,96
1991,1009170,6.82,6882539,135,92
1992,966740,5.28,5104387,160,99
1993,980000,6.3,6174000,162,101
1994,971616,6.38,6198910,154,103
1995,1050000,6.4,6720000,171,103
1996,1068543,6.84,7308834,198,108
1997,1080000,7.2,7776000,160,111
1998,1127567,7.49,8445476,167,114
1999,1150000,7.97,9161300,203,111
2000,1100000,6.32,6953700,205,117
2001,1086690,6.85,7443826,207,124
2002,1175199,7.43,8731728,195,119
2003,1120000,8.56,9587300,189,121
2004,1089302,8.73,9509606,207,126
2005,1130000,8.0,9040000,217,130
2006,1160866,7.75,8996711,217,134
2007,1280000,8.0,10240000,246,140
2008,1143570,8.45,9663166,269,132
2009,1150000,8.8,10120000,238,138
2010,1232234,8.16,10055029,260,141
2011,1300000,8.23,10700000,280,141
2012,1336837,8.51,11376482,255,139
2013,1360000,9.2,12512000,269,149
2014,1357624,9.36,12707360,288,145
2015,1380000,9.2,12696000,291,152
2016,1369766,9.25,12670335,271,153
2017,1420000,9.3,13206000,298,152
2018,1430000,9.65,13800000,310,159
2019,1380000,9.4,12972000,332,163
2020,1400000,9.71,13600000,329,159
2021,1420000,9.86,14000000,390,166
2022,1460000,10.0,14600000,478,178
2023,1538000,9.81,15100000,401,173
