Year,Area_Harvested_ha,Yield_tonne_per_ha,Production_tonnes,Price_per_tonne
1971,1800,12.0,21600,409
1972,1957,13.3,26028,508
1973,1972,11.8,23269,465
1974,2117,13.3,28156,444
1975,2000,13.0,26000,435
1976,2111,11.9,25120,431
1977,2095,12.6,26397,502
1978,2305,12.2,28121,489
1979,2090,14.0,29260,485
1980,2200,14.5,31900,524
1981,2186,16.0,34976,527
1982,2086,15.0,31290,626
1983,2271,16.6,37698,618
1984,2288,14.0,32032,607
1985,2400,15.5,37200,668
1986,2473,15.6,38578,642
1987,2666,16.3,43455,630
1988,2615,16.1,42101,717
1989,2500,14.3,35750,704
1990,2600,16.5,42900,672
1991,2691,15.4,41441,714
1992,2538,17.6,44668,709
1993,2919,17.5,51082,710
1994,2890,16.3,47107,795
1995,2800,17.5,49000,841
1996,2645,16.6,43907,758
1997,3035,17.8,54023,832
1998,2906,19.1,55504,812
1999,3106,17.2,53423,833
2000,3000,18.5,55500,846
2001,2947,18.1,53340,854
2002,3040,18.0,54720,897
2003,3065,19.0,58235,887
2004,3024,18.1,54734,936
2005,3100,19.5,60450,942
2006,2935,17.9,52536,952
2007,3016,21.4,64542,948
2008,3000,19.0,57000,974
2009,3112,18.7,58194,1030
2010,3100,20.0,62000,1039
2011,2979,20.0,59580,1010
2012,2947,19.9,58645,1058
2013,3321,21.0,69741,1094
2014,3222,21.3,68628,1037
2015,3200,20.5,65600,1120
2016,3433,20.0,68660,1100
2017,3281,20.5,67260,1153
2018,3300,21.0,69300,1129
2019,3333,19.3,64326,1113
2020,3350,21.5,72025,1215
2021,3420,22.1,75578,1281
2022,3862,21.3,82426,1303
2023,4250,21.1,89760,1284
