Year,Area_Harvested_ha,Yield_tonne_per_ha,Production_tonnes,Price_per_tonne
1971,121000,20.0,2420000,400
1972,120500,20.2,2437100,410
1973,120000,20.4,2448000,425
1974,119500,20.6,2461700,440
1975,119000,20.8,2475200,435
1976,118500,21.0,2488500,430
1977,118000,21.2,2501600,445
1978,117500,21.4,2514500,460
1979,117000,21.6,2527200,475
1980,116500,21.8,2539700,480
1981,116000,22.0,2552000,485
1982,115500,22.2,2564100,490
1983,115000,22.4,2576000,510
1984,114500,22.6,2587700,525
1985,114000,22.8,2599200,535
1986,113500,23.0,2610500,540
1987,113000,23.2,2621600,560
1988,112500,23.4,2632500,580
1989,112000,23.6,2643200,595
1990,111500,23.8,2653700,605
1991,111000,24.0,2664000,610
1992,110500,24.2,2674100,620
1993,110000,24.4,2684000,635
1994,109500,24.6,2693700,655
1995,109000,24.8,2703200,670
1996,108500,25.0,2712500,685
1997,108000,25.2,2721600,700
1998,107500,25.4,2730500,710
1999,107000,25.6,2739200,720
2000,106500,25.8,2747700,735
2001,106000,26.0,2756000,750
2002,105500,26.2,2764100,765
2003,105000,26.4,2772000,780
2004,104500,26.6,2779700,800
2005,104000,26.8,2787200,820
2006,103500,27.0,2794500,835
2007,103000,27.2,2801600,850
2008,102500,27.4,2808500,875
2009,102000,27.6,2815200,890
2010,101500,27.8,2821700,905
2011,101000,28.0,2828000,920
2012,100500,28.2,2834100,940
2013,100000,28.4,2840000,960
2014,100000,28.6,2860000,980
2015,100000,28.8,2880000,1000
2016,100000,29.0,2900000,1020
2017,100000,29.2,2920000,1040
2018,100000,29.4,2940000,1065
2019,100000,29.6,2960000,1085
2020,100000,30.2,3020000,1120
2021,100000,30.8,3080000,1150
2022,100000,31.5,3150000,1180
2023,100000,32.0,3200000,1200
