Year,Area_Harvested_ha,Yield_tonne_per_ha,Production_tonnes,Price_per_tonne,Nitrogen_kg_per_ha
1971,1234344,7.86,9706425,25,1
1972,1278966,8.87,11349000,26,1
1973,1304672,8.4,10959740,27,1
1974,1370383,8.59,11775103,29,1
1975,1388980,8.93,12400527,28,1
1976,1429327,9.27,13250299,33,1
1977,1462682,8.4,12287011,31,1
1978,1515125,8.77,13283045,30,1
1979,1622994,8.46,13730547,34,1
1980,1572066,7.95,12497138,36,1
1981,1648805,8.5,14010495,38,2
1982,1634839,8.8,14383142,39,2
1983,1686894,8.82,14875118,40,2
1984,1780947,9.2,16378598,39,2
1985,1810652,9.35,16930248,42,2
1986,1887298,9.62,18153272,42,2
1987,1999835,10.0,20007279,46,2
1988,2169412,10.58,22946886,47,2
1989,2253999,9.88,22265936,46,2
1990,2398403,10.91,26165631,48,2
1991,2561418,9.69,24821251,49,3
1992,2688700,9.81,26388707,47,3
1993,2977885,10.08,30021654,46,3
1994,3116017,10.03,31247941,47,3
1995,3115359,9.64,30029252,47,4
1996,3296016,9.47,31196881,46,3
1997,3389082,9.18,31112802,45,4
1998,3593546,8.92,32050097,45,4
1999,3641374,9.17,33374046,42,4
2000,3776197,8.98,33901674,40,4
2001,3905547,8.99,35094631,43,5
2002,4032140,9.72,39204739,47,5
2003,3982153,10.03,39938400,50,5
2004,4071596,10.54,42930713,56,6
2005,4144356,10.9,45159893,58,6
2006,4403574,10.62,46771258,59,6
2007,4878783,10.77,52553227,61,6
2008,5127048,11.53,59098829,61,7
2009,5236011,11.95,62580414,65,7
2010,5657156,12.03,68038710,68,8
2011,6149460,11.36,69831019,72,8
2012,6420081,11.14,71548952,71,8
2013,6414525,9.96,63918427,76,9
2014,6704962,9.52,63819205,84,9
2015,7222218,8.7,62855483,82,9
2016,7177745,8.47,60826235,85,10
2017,7381454,8.69,64112983,89,11
2018,7580870,8.58,65075683,88,11
2019,7502655,8.44,63314092,92,11
2020,7660322,8.42,64498580,95,12
2021,7391488,8.18,60479936,100,14
2022,7691108,8.32,63971256,101,14
2023,8022991,8.12,65180065,108,15
