Year,Area_Harvested_ha,Yield_tonne_per_ha,Production_tonnes,Price_per_tonne,Nitrogen_kg_per_ha
1971,1529802,0.64,983287,109,5
1972,1532059,0.66,1011162,104,5
1973,1576964,0.67,1055691,104,5
1974,1643530,0.64,1046977,104,6
1975,1618855,0.64,1036959,96,6
1976,1638515,0.64,1041869,104,6
1977,1743065,0.64,1110444,110,7
1978,1777506,0.59,1057037,127,7
1979,1763706,0.57,1011701,121,8
1980,1824955,0.54,978175,123,8
1981,1869516,0.61,1131481,123,8
1982,1933720,0.73,1415023,117,9
1983,2040905,0.85,1741554,130,9
1984,2023028,0.91,1844834,134,10
1985,2068672,1.02,2114944,137,11
1986,2271800,1.08,2457696,129,12
1987,2421072,1.11,2681503,141,13
1988,2658128,1.2,3190283,130,13
1989,2768838,1.33,3693865,139,14
1990,2868245,1.36,3899566,155,15
1991,3113881,1.4,4358492,136,17
1992,3125069,1.21,3779602,130,17
1993,3187220,1.28,4095411,130,17
1994,3132154,1.27,3981380,124,17
1995,3212947,1.24,3979465,114,18
1996,3313648,1.23,4087595,118,19
1997,3275964,1.13,3704056,111,20
1998,3408730,1.16,3947391,115,21
1999,3405562,1.18,4031814,107,21
2000,3453470,1.23,4252661,116,21
2001,3528869,1.23,4336514,112,21
2002,3835239,1.25,4778271,115,23
2003,3854326,1.3,5005825,125,25
2004,3823300,1.42,5442787,120,27
2005,4047498,1.48,5988150,128,27
2006,4038361,1.47,5943331,169,29
2007,4259424,1.55,6591535,179,31
2008,4203618,1.58,6634518,217,31
2009,4325349,1.66,7196159,201,33
2010,4625463,1.62,7510936,187,34
2011,4975988,1.65,8198681,176,34
2012,5184536,1.67,8674432,172,36
2013,5363700,1.64,8774995,190,37
2014,5541217,1.75,9706571,198,38
2015,5578064,1.82,10135934,203,39
2016,5746462,1.83,10534475,221,37
2017,5933543,1.84,10892056,226,38
2018,6317875,1.77,11175849,248,40
2019,6452481,1.82,11746851,267,41
2020,6262772,1.86,11638408,272,42
2021,6389454,1.81,11555752,339,48
2022,6290456,1.82,11426003,368,46
2023,6167484,1.84,11352764,308,47
