Year,Population
1971,56000000
1972,57750000
1973,59500000
1974,61250000
1975,63000000
1976,65000000
1977,67000000
1978,69000000
1979,71000000
1980,73000000
1981,75200000
1982,77400000
1983,79600000
1984,81800000
1985,84000000
1986,86400000
1987,88800000
1988,91200000
1989,93600000
1990,96000000
1991,98400000
1992,100800000
1993,103200000
1994,105600000
1995,108000000
1996,110800000
1997,113600000
1998,116400000
1999,119200000
2000,122000000
2001,125400000
2002,128800000
2003,132200000
2004,135600000
2005,139000000
2006,143200000
2007,147400000
2008,151600000
2009,155800000
2010,160000000
2011,164400000
2012,168800000
2013,173200000
2014,177600000
2015,182000000
2016,186800000
2017,191600000
2018,196400000
2019,201200000
2020,206000000
2021,212000000
2022,218000000
2023,224000000
2024,229571428
2025,235142857
2026,240714285
2027,246285714
2028,251857142
2029,257428571
2030,263000000
2031,269700000
2032,276400000
2033,283100000
2034,289800000
2035,296500000
2036,303200000
2037,309900000
2038,316600000
2039,323300000
2040,330000000
2041,337100000
2042,344200000
2043,351300000
2044,358400000
2045,365500000
2046,372600000
2047,379700000
2048,386800000
2049,393900000
2050,401000000
2051,406900000
2052,412800000
2053,418700000
2054,424600000
2055,430500000
2056,436400000
2057,442300000
2058,448200000
2059,454100000
2060,460000000
2061,464500000
2062,469000000
2063,473500000
2064,478000000
2065,482500000
2066,487000000
2067,491500000
2068,496000000
2069,500500000
2070,505000000
2071,508000000
2072,511000000
2073,514000000
2074,517000000
2075,520000000
2076,523000000
2077,526000000
2078,529000000
2079,532000000
2080,535000000
2081,536100000
2082,537200000
2083,538300000
2084,539400000
2085,540500000
2086,541600000
2087,542700000
2088,543800000
2089,544900000
2090,546000000
2091,546000000
2092,546000000
2093,546000000
2094,546000000
2095,546000000
2096,546000000
2097,546000000
2098,546000000
2099,546000000
2100,546000000
