Year,Area_Harvested_ha,Yield_tonne_per_ha,Production_tonnes,Price_per_tonne,Nitrogen_kg_per_ha
1971,359035,1.02,365740,157,8
1972,378150,1.13,428175,146,8
1973,372791,1.11,415595,156,9
1974,392967,1.07,420116,155,9
1975,412418,1.03,423416,162,9
1976,417189,1.0,416609,173,10
1977,441455,1.07,471868,174,10
1978,458116,1.07,490725,181,11
1979,503103,1.06,531445,200,11
1980,552323,1.09,603824,197,12
1981,591515,1.11,657032,209,12
1982,599957,1.26,753001,197,14
1983,637960,1.3,827971,210,14
1984,620683,1.29,802750,227,15
1985,619582,1.38,854289,195,15
1986,695763,1.38,957529,201,16
1987,770921,1.35,1042390,220,17
1988,829746,1.49,1233328,221,18
1989,845730,1.52,1281814,230,18
1990,929066,1.47,1362801,224,20
1991,979076,1.5,1464842,225,22
1992,1090025,1.48,1615188,221,22
1993,1170217,1.46,1707060,232,24
1994,1206588,1.59,1920482,225,24
1995,1274069,1.71,2184656,221,24
1996,1372572,1.55,2121665,210,24
1997,1517109,1.58,2394139,203,27
1998,1688183,1.51,2550967,199,28
1999,1749977,1.48,2593334,204,29
2000,1910166,1.45,2775434,196,30
2001,1959039,1.47,2885256,211,30
2002,2012077,1.56,3129138,242,33
2003,2114589,1.56,3301633,249,33
2004,2154298,1.65,3559173,244,34
2005,2242210,1.69,3797633,266,35
2006,2287657,1.72,3940382,295,37
2007,2537818,1.71,4351504,304,38
2008,2574289,1.76,4519134,347,38
2009,2590149,1.88,4880382,306,40
2010,2701560,1.94,5252252,298,44
2011,2773148,1.89,5240588,317,45
2012,2842013,1.97,5589019,355,47
2013,2975939,2.07,6157696,352,46
2014,3089671,1.96,6044170,346,45
2015,3089137,2.1,6483396,364,47
2016,3131596,2.09,6540185,327,49
2017,3218631,2.2,7093141,360,52
2018,3138524,2.17,6806471,390,50
2019,3213112,2.09,6722663,366,55
2020,3530126,2.1,7402518,412,55
2021,3754520,2.19,8224463,428,55
2022,3741410,2.22,8321705,429,55
2023,3869593,2.12,8222057,462,54
